Month of Selection,Year of Selection,Book Title,Author Name,Publication date,Genre,Adaptation?,Goodreads Summary,# of pages,,
November,2019,The Giver of Stars,Jojo Moyes,2019,Historical Fiction,No,"From the author of Me Before You, set in Depression-era America, a breathtaking story of five extraordinary women and their remarkable journey through the mountains of Kentucky and beyond.

Alice Wright marries handsome American Bennett Van Cleve hoping to escape her stifling life in England. But small-town Kentucky quickly proves equally claustrophobic, especially living alongside her overbearing father-in-law. So when a call goes out for a team of women to deliver books as part of Eleanor Roosevelt’s new traveling library, Alice signs on enthusiastically.

The leader, and soon Alice’s greatest ally, is Margery, a smart-talking, self-sufficient woman who’s never asked a man’s permission for anything. They will be joined by three other singular women who become known as the Packhorse Librarians of Kentucky. 

What happens to them–and to the men they love–becomes an unforgettable drama of loyalty, justice, humanity and passion. These heroic women refuse to be cowed by men or by convention. And though they face all kinds of dangers in a landscape that is at times breathtakingly beautiful, at others brutal, they’re committed to their job: bringing books to people who have never had any, arming them with facts that will change their lives.

Based on a true story rooted in America’s past, The Giver of Stars is unparalleled in its scope and epic in its storytelling. Funny, heartbreaking, enthralling, it is destined to become a modern classic–a richly rewarding novel of women’s friendship, of true love, and of what happens when we reach beyond our grasp for the great beyond.",390,,
December,2019,Conviction,Denise Mina,2019,Thriller,No,"It’s just a normal morning when Anna's husband announces that he's leaving her for her best friend and taking their two daughters with him.

With her safe, comfortable world shattered, Anna distracts herself with someone else's story: a true-crime podcast. That is until she recognises the name of one of the victims and becomes convinced that only she knows what really happened.

With nothing left to lose, she throws herself into investigating the case. But little does she know, Anna's past and present lives are about to collide, sending everything she has worked so hard to achieve into freefall.

Conviction is the compelling and unique new thriller from multiple award-winner and author of The Long Drop, Denise Mina.",376,,
January,2020,Such A Fun Age,Kiley Reid,2019,Literary Fiction,No,"A striking and surprising debut novel from an exhilarating new voice, Such a Fun Age is a page-turning and big-hearted story about race and privilege, set around a young black babysitter, her well-intentioned employer, and a surprising connection that threatens to undo them both.

Alix Chamberlain is a woman who gets what she wants and has made a living, with her confidence-driven brand, showing other women how to do the same. So she is shocked when her babysitter, Emira Tucker, is confronted while watching the Chamberlains' toddler one night, walking the aisles of their local high-end supermarket. The store's security guard, seeing a young black woman out late with a white child, accuses Emira of kidnapping two-year-old Briar. A small crowd gathers, a bystander films everything, and Emira is furious and humiliated. Alix resolves to make things right.

But Emira herself is aimless, broke, and wary of Alix's desire to help. At twenty-five, she is about to lose her health insurance and has no idea what to do with her life. When the video of Emira unearths someone from Alix's past, both women find themselves on a crash course that will upend everything they think they know about themselves, and each other.

With empathy and piercing social commentary, Such a Fun Age explores the stickiness of transactional relationships, what it means to make someone family, and the complicated reality of being a grown up. It is a searing debut for our times.",310,,
February,2020,The Scent Keeper,Erica Bauermeister,2019,Magical Realism,No,"Erica Bauermeister, the national bestselling author of The School of Essential Ingredients, presents a moving and evocative coming-of-age novel about childhood stories, families lost and found, and how a fragrance conjures memories capable of shaping the course of our lives.

Emmeline lives an enchanted childhood on a remote island with her father, who teaches her about the natural world through her senses. What he won’t explain are the mysterious scents stored in the drawers that line the walls of their cabin, or the origin of the machine that creates them. As Emmeline grows, however, so too does her curiosity, until one day the unforeseen happens, and Emmeline is vaulted out into the real world—a place of love, betrayal, ambition, and revenge. To understand her past, Emmeline must unlock the clues to her identity, a quest that challenges the limits of her heart and imagination.

Lyrical and immersive, The Scent Keeper explores the provocative beauty of scent, the way it can reveal hidden truths, lead us to the person we seek, and even help us find our way back home.",311,,
March,2020,The Jetsetters,Amanda Eyre Ward,2020,Romance,No,"When seventy-year-old Charlotte Perkins submits a sexy essay to the ""Become a Jetsetter"" contest, she dreams of reuniting her estranged children: Lee, an almost-famous actress; Cord, a handsome Manhattan venture capitalist who can't seem to find a bride; and Regan, a harried mother who took it all wrong when Charlotte bought her a Weight Watchers gift certificate for her birthday. 

Charlotte yearns for the years when her children were young and she was a single mother who meant everything to them. When she wins the cruise, the family packs all their baggage—literal and figurative—and spends ten days traveling from sun-drenched Athens through glorious Rome to tapas-laden Barcelona on an over-the-top cruise ship, the Splendido Marveloso. 

As lovers new and old join the adventure, long-buried secrets are revealed, and the Perkins family is forced to confront the defining choices in their lives. Can four lost adults find the peace they've been seeking by reconciling their childhood aches and coming back to each other?

In the vein of The Nest and The Vacationers, Ward has created a delicious and intelligent novel about the courage it takes to reveal our true selves, the pleasures and perils of family, and how we navigate the seas of adulthood to cruise—we can only hope—toward joy.",352,,
April,2020,UNTAMED,Glennon Doyle,2020,Self-Help,No,"Soulful and uproarious, forceful and tender, Untamed is both an intimate memoir and a galvanizing wake-up call. It is the story of how one woman learned that a responsible mother is not one who slowly dies for her children, but one who shows them how to fully live. It is the story of navigating divorce, forming a new blended family, and discovering that the brokenness or wholeness of a family depends not on its structure but on each member’s ability to bring her full self to the table. And it is the story of how each of us can begin to trust ourselves enough to set boundaries, make peace with our bodies, honor our anger and heartbreak, and unleash our truest, wildest instincts so that we become women who can finally look at ourselves and say: There She Is.",333,,
May,2020,The Henna Artist,Alka Joshi,2020,Historical Fiction,No,"Vivid and compelling in its portrait of one woman’s struggle for fulfillment in a society pivoting between the traditional and the modern, The Henna Artist opens a door into a world that is at once lush and fascinating, stark and cruel.

Escaping from an abusive marriage, seventeen-year-old Lakshmi makes her way alone to the vibrant 1950s pink city of Jaipur. There she becomes the most highly requested henna artist—and confidante—to the wealthy women of the upper class. But trusted with the secrets of the wealthy, she can never reveal her own…

Known for her original designs and sage advice, Lakshmi must tread carefully to avoid the jealous gossips who could ruin her reputation and her livelihood. As she pursues her dream of an independent life, she is startled one day when she is confronted by her husband, who has tracked her down these many years later with a high-spirited young girl in tow—a sister Lakshmi never knew she had. Suddenly the caution that she has carefully cultivated as protection is threatened. Still she perseveres, applying her talents and lifting up those that surround her as she does.",384,,
June/July,2020,The Guest List,Lucy Foley,2020,Mystery,No,"A wedding celebration turns dark and deadly in this deliciously wicked and atmospheric thriller reminiscent of Agatha Christie from the New York Times bestselling author of The Hunting Party.

The bride – The plus one – The best man – The wedding planner – The bridesmaid – The body

On an island off the coast of Ireland, guests gather to celebrate two people joining their lives together as one. The groom: handsome and charming, a rising television star. The bride: smart and ambitious, a magazine publisher. It’s a wedding for a magazine, or for a celebrity: the designer dress, the remote location, the luxe party favors, the boutique whiskey. The cell phone service may be spotty and the waves may be rough, but every detail has been expertly planned and will be expertly executed.

But perfection is for plans, and people are all too human. As the champagne is popped and the festivities begin, resentments and petty jealousies begin to mingle with the reminiscences and well wishes. The groomsmen begin the drinking game from their school days. The bridesmaid not-so-accidentally ruins her dress. The bride’s oldest (male) friend gives an uncomfortably caring toast.

And then someone turns up dead. Who didn’t wish the happy couple well? And perhaps more important, why?",319,,
July/July,2020,I’m Still Here,Austin Channing Brown,2018,Memoir,No,"From a powerful new voice on racial justice, an eye-opening account of growing up Black, Christian, and female in middle-class white America. 

Austin Channing Brown's first encounter with a racialized America came at age 7, when she discovered her parents named her Austin to deceive future employers into thinking she was a white man. Growing up in majority-white schools, organizations, and churches, Austin writes, ""I had to learn what it means to love blackness,"" a journey that led to a lifetime spent navigating America's racial divide as a writer, speaker and expert who helps organizations practice genuine inclusion.

In a time when nearly all institutions (schools, churches, universities, businesses) claim to value ""diversity"" in their mission statements, I'm Still Here is a powerful account of how and why our actions so often fall short of our words. Austin writes in breathtaking detail about her journey to self-worth and the pitfalls that kill our attempts at racial justice, in stories that bear witness to the complexity of America's social fabric--from Black Cleveland neighborhoods to private schools in the middle-class suburbs, from prison walls to the boardrooms at majority-white organizations.

For readers who have engaged with America's legacy on race through the writing of Ta-Nehisi Coates and Michael Eric Dyson, I'm Still Here is an illuminating look at how white, middle-class, Evangelicalism has participated in an era of rising racial hostility, inviting the reader to confront apathy, recognize God's ongoing work in the world, and discover how blackness--if we let it--can save us all.",185,,
August,2020,Everything Inside,Edwidge Danticat,2019,Short Stories,No,"From the internationally acclaimed, best-selling author of Brother, I'm Dying, a collection of vividly imagined stories about community, family, and love.

Rich with hard-won wisdom and humanity, set in locales from Miami and Port-au-Prince to a small unnamed country in the Caribbean and beyond, Everything Inside is at once wide in scope and intimate, as it explores the forces that pull us together, or drive us apart, sometimes in the same searing instant.

In these eight powerful, emotionally absorbing stories, a romance unexpectedly sparks between two wounded friends; a marriage ends for what seem like noble reasons, but with irreparable consequences; a young woman holds on to an impossible dream even as she fights for her survival; two lovers reunite after unimaginable tragedy, both for their country and in their lives; a baby's christening brings three generations of a family to a precarious dance between old and new; a man falls to his death in slow motion, reliving the defining moments of the life he is about to lose.

This is the indelible work of a keen observer of the human heart--a master at her best.",240,,
September,2020,The Last Story of Mina Lee,Nancy Jooyoun Kim,2020,Mystery,No,"Margot Lee's mother, Mina, isn't returning her calls. It's a mystery to twenty-six-year-old Margot, until she visits her childhood apartment in Koreatown, LA, and finds that her mother has suspiciously died. The discovery sends Margot digging through the past, unraveling the tenuous invisible strings that held together her single mother's life as a Korean War orphan and an undocumented immigrant, only to realize how little she truly knew about her mother.

Interwoven with Margot's present-day search is Mina's story of her first year in Los Angeles as she navigates the promises and perils of the American myth of reinvention. While she's barely earning a living by stocking shelves at a Korean grocery store, the last thing Mina ever expects is to fall in love. But that love story sets in motion a series of events that have consequences for years to come, leading up to the truth of what happened the night of her death.",384,,
October,2020,His Only Wife,Peace Medie Adzo,2020,Romance,No,"“Elikem married me in absentia; he did not come to our wedding.”

Afi Tekple is a young seamstress whose life is narrowing rapidly. She lives in a small town in Ghana with her widowed mother, spending much of her time in her uncle Pious’s house with his many wives and children. Then one day she is offered a life-changing opportunity—a proposal of marriage from the wealthy family of Elikem Ganyo, a man she doesn’t truly know. She acquiesces, but soon realizes that Elikem is not quite the catch he seemed. He sends a stand-in to his own wedding, and only weeks after Afi is married and installed in a plush apartment in the capital city of Accra does she meet her new husband. It turns out that he is in love with another woman, whom his family disapproves of; Afi is supposed to win him back on their behalf. But it is Accra that eventually wins Afi’s heart and gives her a life of independence that she never could have imagined for herself.

A brilliant scholar and a fierce advocate for women’s rights, author Peace Adzo Medie infuses her debut novel with intelligence and humor. For readers of Chimamanda Ngozi Adichie and Candice Carty-Williams, His Only Wife is the story of an indomitable and relatable heroine that illuminates what it means to be a woman in a rapidly changing world.",288,,
November,2020,Group,Christie Tate,2020,Memoir,No,"The refreshingly original debut memoir of a guarded, over-achieving, self-lacerating young lawyer who reluctantly agrees to get psychologically and emotionally naked in a room of six complete strangers—her psychotherapy group—and in turn finds human connection, and herself.

Christie Tate had just been named the top student in her law school class and finally had her eating disorder under control. Why then was she driving through Chicago fantasizing about her own death? Why was she envisioning putting an end to the isolation and sadness that still plagued her in spite of her achievements?

Enter Dr. Rosen, a therapist who calmly assures her that if she joins one of his psychotherapy groups, he can transform her life. All she has to do is show up and be honest. About everything—her eating habits, childhood, sexual history, etc. Christie is skeptical, insisting that that she is defective, beyond cure. But Dr. Rosen issues a nine-word prescription that will change everything: “You don’t need a cure, you need a witness.

So begins her entry into the strange, terrifying, and ultimately life-changing world of group therapy. Christie is initially put off by Dr. Rosen’s outlandish directives, but as her defenses break down and she comes to trust Dr. Rosen and to depend on the sessions and the prescribed nightly phone calls with various group members, she begins to understand what it means to connect.

Group is a deliciously addictive read, and with Christie as our guide—skeptical of her own capacity for connection and intimacy, but hopeful in spite of herself—we are given a front row seat to the daring, exhilarating, painful, and hilarious journey that is group therapy—an under-explored process that breaks you down, and then reassembles you so that all the pieces finally fit.",288,,
December,2020,The Chicken Sisters,KJ Dell’Antonia,2020,Chick Lit,No,"Three generations. Two chicken shacks. One recipe for disaster.

In tiny Merinac, Kansas, Chicken Mimi's and Chicken Frannie's have spent a century vying to serve up the best fried chicken in the state--and the legendary feud between their respective owners, the Moores and the Pogociellos, has lasted just as long. No one feels the impact more than thirty-five-year-old widow Amanda Moore, who grew up working for her mom at Mimi's before scandalously marrying Frank Pogociello and changing sides to work at Frannie's. Tired of being caught in the middle, Amanda sends an SOS to Food Wars, the reality TV restaurant competition that promises $100,000 to the winner. But in doing so, she launches both families out of the frying pan and directly into the fire. . .

The last thing Brooklyn-based organizational guru Mae Moore, Amanda's sister, wants is to go home to Kansas. But when her career implodes, Food Wars becomes her chance to step back into the limelight. Mae is certain she can make the fading Mimi's look good--even if that pits her against Amanda and Frannie's. With a greedy producer stoking the flames, their friendly rivalry quickly turns into a game of chicken. Yet when family secrets become public knowledge, the sisters must choose: Will they fight with each other, or for their heritage?",352,,
January,2021,Outlawed,Anna North,2021,Historical Fiction,No,"In the year of our Lord 1894, I became an outlaw.

The day of her wedding, 17 year old Ada's life looks good; she loves her husband, and she loves working as an apprentice to her mother, a respected midwife. But after a year of marriage and no pregnancy, in a town where barren women are routinely hanged as witches, her survival depends on leaving behind everything she knows.

She joins up with the notorious Hole in the Wall Gang, a band of outlaws led by a preacher-turned-robber known to all as the Kid. Charismatic, grandiose, and mercurial, the Kid is determined to create a safe haven for outcast women. But to make this dream a reality, the Gang hatches a treacherous plan that may get them all killed. And Ada must decide whether she's willing to risk her life for the possibility of a new kind of future for them all.

Featuring an irresistibly no-nonsense, courageous, and determined heroine, Outlawed dusts off the myth of the old West and reignites the glimmering promise of the frontier with an entirely new set of feminist stakes. Anna North has crafted a pulse-racing, page-turning saga about the search for hope in the wake of death, and for truth in a climate of small-mindedness and fear.",261,,
February,2021,The Sanatorium,Sarah Pearse,2021,Mystery,No,"ou won't want to leave...until you can't.

Half hidden by forest and overshadowed by threatening peaks, Le Sommet has always been a sinister place. Long plagued by troubling rumors, the former abandoned sanatorium has since been renovated into a five-star minimalist hotel.

An imposing, isolated getaway spot high up in the Swiss Alps is the last place Elin Warner wants to be. But Elin's taken time off from her job as a detective, so when her estranged brother, Isaac, and his fiancée, Laure, invite her to celebrate their engagement at the hotel, Elin really has no reason not to accept.

Arriving in the midst of a threatening storm, Elin immediately feels on edge--there's something about the hotel that makes her nervous. And when they wake the following morning to discover Laure is missing, Elin must trust her instincts if they hope to find her. With the storm closing off all access to the hotel, the longer Laure stays missing, the more the remaining guests start to panic.

Elin is under pressure to find Laure, but no one has realized yet that another woman has gone missing. And she's the only one who could have warned them just how much danger they are all in...",400,,
March,2021,Infinite Country,Patricia Engel,2021,Historical Fiction,No,"For readers of Valeria Luiselli and Edwidge Danticat, an urgent and lyrical novel about a Colombian family fractured by deportation, offering an intimate perspective on an experience that so many have endured—and are enduring right now. 

At the dawn of the new millennium, Colombia is a country devastated by half a century of violence. Elena and Mauro are teenagers when they meet, their blooming love an antidote to the mounting brutality of life in Bogotá. Once their first daughter is born, and facing grim economic prospects, they set their sights on the United States.

They travel to Houston and send wages back to Elena’s mother, all the while weighing whether to risk overstaying their tourist visas or to return to Bogotá. As their family expands, and they move again and again, their decision to ignore their exit dates plunges the young family into the precariousness of undocumented status, the threat of discovery menacing a life already strained. When Mauro is deported, Elena, now tasked with caring for their three small children, makes a difficult choice that will ease her burdens but splinter the family even further.

Award-winning, internationally acclaimed author Patricia Engel, herself the daughter of Colombian immigrants and a dual citizen, gives voice to Mauro and Elena, as well as their children, Karina, Nando, and Talia—each one navigating a divided existence, weighing their allegiance to the past, the future, to one another, and to themselves. Rich with Bogotá urban life, steeped in Andean myth, and tense with the daily reality for the undocumented in America, Infinite Country is the story of two countries and one mixed-status family—for whom every triumph is stitched with regret and every dream pursued bears the weight of a dream deferred.",256,,
April,2021,Northern Spy,Flynn Berry,2021,Historical Fiction,No,"The acclaimed author of Under the Harrow and A Double Life returns with her most thrilling novel to date: the story of two sisters who become entangled with the IRA.

A producer at the Belfast bureau of the BBC, Tessa is at work one day when the news of another raid comes on the air. The IRA may have gone underground after the Good Friday agreement, but they never really went away, and lately, bomb threats, arms drops, and helicopters floating ominously over the city have become features of everyday life. As the anchor requests the public's help in locating those responsible for this latest raid - a robbery at a gas station - Tessa's sister appears on the screen. Tessa watches in shock as Marian pulls a black mask over her face.

The police believe Marian has joined the IRA, but Tessa knows this is impossible. They were raised to oppose Republicanism, and the violence enacted in its name. They've attended peace vigils together. And besides, Marian is vacationing by the sea. Tessa just spoke to her yesterday.

When the truth of what has happened to Marian reveals itself, Tessa will be forced to choose: between her ideals and her family, between bystanderism and action. Walking an increasingly perilous road, she fears nothing more than endangering the one person she loves more fiercely than her sister: her infant son.

A riveting and exquisite novel about family, terror, motherhood, betrayal, and the staggering human costs of an intractable conflict, Northern Spy cements Flynn Berry's status as one of the most sophisticated and accomplished authors of crime and suspense novels working today.",288,,
May,2021,The Last Thing He Told Me,Laura Dave,2021,Thriller,Yes,"A woman searching for the truth about her husband’s disappearance…at any cost.

Before Owen Michaels disappears, he manages to smuggle a note to his beloved wife of one year: Protect her. Despite her confusion and fear, Hannah Hall knows exactly to whom the note refers: Owen’s sixteen-year-old daughter, Bailey. Bailey, who lost her mother tragically as a child. Bailey, who wants absolutely nothing to do with her new stepmother.

As Hannah’s increasingly desperate calls to Owen go unanswered; as the FBI arrests Owen’s boss; as a US Marshal and FBI agents arrive at her Sausalito home unannounced, Hannah quickly realizes her husband isn’t who he said he was. And that Bailey just may hold the key to figuring out Owen’s true identity—and why he really disappeared.

Hannah and Bailey set out to discover the truth, together. But as they start putting together the pieces of Owen’s past, they soon realize they are also building a new future. One neither Hannah nor Bailey could have anticipated.",320,,
June,2021,Seven Days in June,Tia Williams,2021,Romance,No,"Brooklynite Eva Mercy is a single mom and bestselling erotica writer, who is feeling pressed from all sides. Shane Hall is a reclusive, enigmatic, award-winning literary author who, to everyone's surprise, shows up in New York.

When Shane and Eva meet unexpectedly at a literary event, sparks fly, raising not only their past buried traumas, but the eyebrows of New York's Black literati. What no one knows is that twenty years earlier, teenage Eva and Shane spent one crazy, torrid week madly in love. They may be pretending that everything is fine now, but they can't deny their chemistry - or the fact that they've been secretly writing to each other in their books ever since.

Over the next seven days in the middle of a steamy Brooklyn summer, Eva and Shane reconnect, but Eva's not sure how she can trust the man who broke her heart, and she needs to get him out of New York so that her life can return to normal. But before Shane disappears again, there are a few questions she needs answered...

With its keen observations of Black life and the condition of modern motherhood, as well as the consequences of motherless-ness, Seven Days in June is by turns humorous, warm and deeply sensual.",336,,
July,2021,The Paper Palace,Miranda Cowley Heller,2021,Literary Fiction,No,"t is a perfect July morning, and Elle, a fifty-year-old happily married mother of three, awakens at ""The Paper Palace""—the family summer place which she has visited every summer of her life. But this morning is different: last night Elle and her oldest friend Jonas crept out the back door into the darkness and had sex with each other for the first time, all while their spouses chatted away inside. 

Now, over the next twenty-four hours, Elle will have to decide between the life she has made with her genuinely beloved husband, Peter, and the life she always imagined she would have had with her childhood love, Jonas, if a tragic event hadn't forever changed the course of their lives. 

As Heller colors in the experiences that have led Elle to this day, we arrive at her ultimate decision with all its complexity. Tender yet devastating, The Paper Palace considers the tensions between desire and dignity, the legacies of abuse, and the crimes and misdemeanors of families. ",400,,
August,2021,We Were Never Here,Andrea Bartz,2021,Thriller,No,"An annual backpacking trip has deadly consequences in a chilling new novel from the bestselling author of The Lost Night and The Herd. 

Emily is having the time of her life--she's in the mountains of Chile with her best friend, Kristen, on their annual reunion trip, and the women are feeling closer than ever. But on the last night of their trip, Emily enters their hotel suite to find blood and broken glass on the floor. Kristen says the cute backpacker she'd been flirting with attacked her, and she had no choice but to kill him in self-defense. Even more shocking: The scene is horrifyingly similar to last year's trip, when another backpacker wound up dead. Emily can't believe it's happened again--can lightning really strike twice? 

Back home in Wisconsin, Emily struggles to bury her trauma, diving head-first into a new relationship and throwing herself into work. But when Kristen shows up for a surprise visit, Emily is forced to to confront their violent past. The more Kristen tries to keep Emily close, the more Emily questions her friend's motives. As Emily feels the walls closing in on their coverups, she must reckon with the truth about her closest friend. Can she outrun the secrets she shares with Kristen, or will they destroy her relationship, her freedom--even her life?",304,,
September,2021,L.A. Weather,María Amparo Escandón,2021,Literary Fiction,No,"FORECAST: Storm clouds are on the horizon in this fun, fast-paced novel of an affluent Mexican-American family from the author of the #1 Los Angeles Times bestseller Esperanza’s Box of Saints.

L.A. is parched, dry as a bone, and all Oscar, the weather-obsessed patriarch of the Alvarado family, desperately wants is a little rain. He’s harboring a costly secret that distracts him from everything else. His wife, Keila, desperate for a life with a little more intimacy and a little less Weather Channel, feels she has no choice but to end their marriage. Their three daughters—Claudia, a television chef with a hard-hearted attitude; Olivia, a successful architect who suffers from gentrification guilt; and Patricia, a social media wizard who has an uncanny knack for connecting with audiences but not with her lovers—are blindsided and left questioning everything they know. Each will have to take a critical look at her own relationships and make some tough decisions along the way.

With quick wit and humor, Maria Amparo Escandón follows the Alvarado family as they wrestle with impending evacuations, secrets, deception, and betrayal, and their toughest decision yet: whether to stick together or burn it all down.",319,,
October,2021,Sankofa,Chibundu Onuzo,2021,Literary Fiction,No,"Masterful in its examination of freedom, prejudice, and personal and public inheritance, Sankofa is a story for anyone who has ever gone looking for a clear identity or home, and found something more complex in its place.

Anna is at a stage of her life when she's beginning to wonder who she really is. She has separated from her husband, her daughter is all grown up, and her mother—the only parent who raised her—is dead.

Searching through her mother's belongings one day, Anna finds clues about the African father she never knew. His student diaries chronicle his involvement in radical politics in 1970s London. Anna discovers that he eventually became the president—some would say dictator—of a small nation in West Africa. And he is still alive...

When Anna decides to track her father down, a journey begins that is disarmingly moving, funny, and fascinating. Like the metaphorical bird that gives the novel its name, Sankofa expresses the importance of reaching back to knowledge gained in the past and bringing it into the present to address universal questions of race and belonging, the overseas experience for the African diaspora, and the search for a family's hidden roots.",304,,
November,2021,The Island of Missing Trees,Elif Shafak,2021,Magical Realism,No,"A rich, magical new book on belonging and identity, love and trauma, nature and renewal, from the Booker shortlisted author of 10 Minutes 38 Seconds in This Strange World. 

Two teenagers, a Greek Cypriot and a Turkish Cypriot, meet at a taverna on the island they both call home. In the taverna, hidden beneath garlands of garlic, chili peppers and creeping honeysuckle, Kostas and Defne grow in their forbidden love for each other. A fig tree stretches through a cavity in the roof, and this tree bears witness to their hushed, happy meetings and eventually, to their silent, surreptitious departures. The tree is there when war breaks out, when the capital is reduced to ashes and rubble, and when the teenagers vanish. Decades later, Kostas returns. He is a botanist looking for native species, but really, he’s searching for lost love. 

Years later a Ficus carica grows in the back garden of a house in London where Ada Kazantzakis lives. This tree is her only connection to an island she has never visited - her only connection to her family’s troubled history and her complex identity as she seeks to untangle years of secrets to find her place in the world.

A moving, beautifully written and delicately constructed story of love, division, transcendence, history and eco-consciousness, The Island of Missing Trees is Elif Shafak’s best work yet.",354,,
December,2021,Lucky,Marissa Stapley,2021,Thriller,No,"A thrilling roller-coaster ride about a heist gone terribly wrong, with a plucky protagonist who will win readers' hearts.

What if you had the winning ticket that would change your life forever, but you couldn't cash it in?

Lucky Armstrong is a tough, talented grifter who has just pulled off a million-dollar heist with her boyfriend, Cary. She's ready to start a brand-new life, with a new identity--when things go sideways. Lucky finds herself alone for the first time, navigating the world without the help of either her father or her boyfriend, the two figures from whom she's learned the art of the scam.

When she discovers that a lottery ticket she bought on a whim is worth millions, her elation is tempered by one big problem: cashing in the winning ticket means she'll be arrested for her crimes. She'll go to prison, with no chance to redeem her fortune.

As Lucky tries to avoid capture and make a future for herself, she must confront her past by reconciling with her father; finding her mother, who abandoned her when she was just a baby; and coming to terms with the man she thought she loved--whose dark past is catching up with her, too.

This is a novel about truth, personal redemption, and the complexity of being good. It introduces a singularly gifted, multilayered character who must learn what it means to be independent and honest ... before her luck runs out.",232,,
January,2022,Honor,Thrity Umrigar,2022,Literary Fiction,No,"In this riveting and immersive novel, bestselling author Thrity Umrigar tells the story of two couples and the sometimes dangerous and heartbreaking challenges of love across a cultural divide.
 
Indian American journalist Smita has returned to India to cover a story, but reluctantly: long ago she and her family left the country with no intention of ever coming back. As she follows the case of Meena—a Hindu woman attacked by members of her own village and her own family for marrying a Muslim man—Smita comes face to face with a society where tradition carries more weight than one’s own heart, and a story that threatens to unearth the painful secrets of Smita’s own past. While Meena’s fate hangs in the balance, Smita tries in every way she can to right the scales. She also finds herself increasingly drawn to Mohan, an Indian man she meets while on assignment. But the dual love stories of Honor are as different as the cultures of Meena and Smita themselves: Smita realizes she has the freedom to enter into a casual affair, knowing she can decide later how much it means to her.

In this tender and evocative novel about love, hope, familial devotion, betrayal, and sacrifice, Thrity Umrigar shows us two courageous women trying to navigate how to be true to their homelands and themselves at the same time.",326,,
February,2022,The Christie Affair,Nina de Gramont,2022,Historical Fiction,No,"Nina de Gramont's The Christie Affair is a beguiling novel of star-crossed lovers, heartbreak, revenge, and murder—and a brilliant re-imagination of one of the most talked-about unsolved mysteries of the twentieth century.

Every story has its secrets.
Every mystery has its motives.

“A long time ago, in another country, I nearly killed a woman. It’s a particular feeling, the urge to murder. It takes over your body so completely, it’s like a divine force, grabbing hold of your will, your limbs, your psyche. There’s a joy to it. In retrospect, it’s frightening, but I daresay in the moment it feels sweet. The way justice feels sweet.”

The greatest mystery wasn’t Agatha Christie’s disappearance in those eleven infamous days, it’s what she discovered.

London, 1925: In a world of townhomes and tennis matches, socialites and shooting parties, Miss Nan O’Dea became Archie Christie’s mistress, luring him away from his devoted and well-known wife, Agatha Christie.

The question is, why? Why destroy another woman’s marriage, why hatch a plot years in the making, and why murder? How was Nan O’Dea so intricately tied to those eleven mysterious days that Agatha Christie went missing?",320,,
March,2022,The Club,Ellery Lloyd,2022,Thriller,No,"From the author of People Like Her comes a smart and sinister murder mystery set in the secretive world of exclusive celebrity clubs.

Everyone's Dying to Join . . .

The Home Group is a glamorous collection of celebrity members' clubs dotted across the globe, where the rich and famous can party hard and then crash out in its five-star suites, far from the prying eyes of fans and the media.

The most spectacular of all is Island Home—a closely-guarded, ultraluxurious resort, just off the English coast—and its three-day launch party is easily the most coveted A-list invite of the decade.

But behind the scenes, tensions are at breaking point: the ambitious and expensive project has pushed the Home Group's CEO and his long-suffering team to their absolute limits. All of them have something to hide—and that's before the beautiful people with their own ugly secrets even set foot on the island. 

As tempers fray and behavior worsens, as things get more sinister by the hour and the body count piles up, some of Island Home’s members will begin to wish they’d never made the guest list.

Because at this club, if your name’s on the list, you’re not getting out.",320,,
April,2022,True Biz,Sara Nović,2022,Young Adult,No,"TRUE BIZ (adj./exclamation; American Sign Language): really, seriously, definitely, real-talk

True biz? The students at the River Valley School for the Deaf just want to hook up, pass their history finals, and have politicians, doctors, and their parents stop telling them what to do with their bodies. This revelatory novel plunges readers into the halls of a residential school for the deaf, where they'll meet Charlie, a rebellious transfer student who's never met another deaf person before; Austin, the school's golden boy, whose world is rocked when his baby sister is born hearing; and February, the headmistress, who is fighting to keep her school open and her marriage intact, but might not be able to do both. As a series of crises both personal and political threaten to unravel each of them, Charlie, Austin, and February find their lives inextricable from one another's—and changed forever.

This is a story of sign language and lip-reading, disability and civil rights, isolation and injustice, first love and loss, and, above all, great persistence, daring, and joy. Absorbing and assured, idiosyncratic and relatable, this is an unforgettable journey into the Deaf community and a universal celebration of human connection.",386,,
